[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /metrics                  --> github.com/zsais/go-gin-prometheus.prometheusHandler.func1 (2 handlers)
[GIN-debug] POST   /login                    --> main.main.func2 (6 handlers)
[GIN-debug] POST   /signup                   --> main.main.func3 (6 handlers)
[GIN-debug] GET    /user/is-auth             --> main.main.func4 (7 handlers)
[GIN-debug] POST   /user/logout              --> main.main.func5 (7 handlers)
[GIN-debug] POST   /user/add-item            --> main.main.func6 (7 handlers)
[GIN-debug] GET    /user/watchlist           --> main.main.func7 (7 handlers)
[GIN-debug] POST   /user/add-new-item        --> main.main.func8 (7 handlers)
[GIN-debug] GET    /item/get-items           --> main.main.func9 (6 handlers)
[GIN-debug] GET    /item/price               --> main.main.func10 (6 handlers)
[GIN-debug] Listening and serving HTTP on :8000
[GIN] 2020/05/25 - 20:59:17 | 200 |    843.5263ms |      172.19.0.1 | GET      /item/get-items?offset=105&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    864.6705ms |      172.19.0.1 | GET      /item/get-items?offset=979&limit=40
[GIN] 2020/05/25 - 20:59:17 | 200 |    892.2346ms |      172.19.0.1 | GET      /item/get-items?offset=105&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    874.6182ms |      172.19.0.1 | GET      /item/get-items?offset=979&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    891.1368ms |      172.19.0.1 | GET      /item/get-items?offset=860&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    862.6223ms |      172.19.0.1 | GET      /item/get-items?offset=105&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    903.6528ms |      172.19.0.1 | GET      /item/get-items?offset=105&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    935.8932ms |      172.19.0.1 | GET      /item/get-items?offset=979&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    918.7054ms |      172.19.0.1 | GET      /item/get-items?offset=105&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    912.7125ms |      172.19.0.1 | GET      /item/get-items?offset=860&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    885.3204ms |      172.19.0.1 | GET      /item/get-items?offset=979&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    872.5442ms |      172.19.0.1 | GET      /item/get-items?offset=105&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    893.7045ms |      172.19.0.1 | GET      /item/get-items?offset=979&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    904.5164ms |      172.19.0.1 | GET      /item/get-items?offset=105&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    914.0626ms |      172.19.0.1 | GET      /item/get-items?offset=860&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    931.5869ms |      172.19.0.1 | GET      /item/get-items?offset=860&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    867.2179ms |      172.19.0.1 | GET      /item/get-items?offset=105&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    873.2793ms |      172.19.0.1 | GET      /item/get-items?offset=105&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    842.9849ms |      172.19.0.1 | GET      /item/get-items?offset=860&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    848.9989ms |      172.19.0.1 | GET      /item/get-items?offset=860&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    911.9459ms |      172.19.0.1 | GET      /item/get-items?offset=105&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    843.9444ms |      172.19.0.1 | GET      /item/get-items?offset=979&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    846.2974ms |      172.19.0.1 | GET      /item/get-items?offset=860&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    849.7436ms |      172.19.0.1 | GET      /item/get-items?offset=979&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    893.0281ms |      172.19.0.1 | GET      /item/get-items?offset=979&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    872.9712ms |      172.19.0.1 | GET      /item/get-items?offset=979&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    806.2958ms |      172.19.0.1 | GET      /item/get-items?offset=105&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |     959.411ms |      172.19.0.1 | GET      /item/get-items?offset=860&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    915.7305ms |      172.19.0.1 | GET      /item/get-items?offset=860&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    916.5204ms |      172.19.0.1 | GET      /item/get-items?offset=860&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    871.0335ms |      172.19.0.1 | GET      /item/get-items?offset=860&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    948.3437ms |      172.19.0.1 | GET      /item/get-items?offset=860&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    959.3182ms |      172.19.0.1 | GET      /item/get-items?offset=979&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    932.7733ms |      172.19.0.1 | GET      /item/get-items?offset=105&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    969.7036ms |      172.19.0.1 | GET      /item/get-items?offset=979&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |      904.16ms |      172.19.0.1 | GET      /item/get-items?offset=105&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    953.4087ms |      172.19.0.1 | GET      /item/get-items?offset=105&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    962.8803ms |      172.19.0.1 | GET      /item/get-items?offset=860&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    974.0177ms |      172.19.0.1 | GET      /item/get-items?offset=105&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    1.0047755s |      172.19.0.1 | GET      /item/get-items?offset=979&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    950.6043ms |      172.19.0.1 | GET      /item/get-items?offset=105&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    988.0538ms |      172.19.0.1 | GET      /item/get-items?offset=979&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |     990.891ms |      172.19.0.1 | GET      /item/get-items?offset=860&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    965.5871ms |      172.19.0.1 | GET      /item/get-items?offset=860&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |     948.254ms |      172.19.0.1 | GET      /item/get-items?offset=105&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    1.0147763s |      172.19.0.1 | GET      /item/get-items?offset=979&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    893.5195ms |      172.19.0.1 | GET      /item/get-items?offset=105&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |     931.599ms |      172.19.0.1 | GET      /item/get-items?offset=105&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    910.5668ms |      172.19.0.1 | GET      /item/get-items?offset=105&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    891.9308ms |      172.19.0.1 | GET      /item/get-items?offset=860&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    904.2716ms |      172.19.0.1 | GET      /item/get-items?offset=860&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    928.5013ms |      172.19.0.1 | GET      /item/get-items?offset=860&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    985.0772ms |      172.19.0.1 | GET      /item/get-items?offset=105&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    859.0491ms |      172.19.0.1 | GET      /item/get-items?offset=860&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    969.5058ms |      172.19.0.1 | GET      /item/get-items?offset=105&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    915.0573ms |      172.19.0.1 | GET      /item/get-items?offset=860&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    937.2961ms |      172.19.0.1 | GET      /item/get-items?offset=105&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    937.4349ms |      172.19.0.1 | GET      /item/get-items?offset=860&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |     940.178ms |      172.19.0.1 | GET      /item/get-items?offset=860&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    967.2812ms |      172.19.0.1 | GET      /item/get-items?offset=860&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    966.1287ms |      172.19.0.1 | GET      /item/get-items?offset=860&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    999.2011ms |      172.19.0.1 | GET      /item/get-items?offset=105&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    1.0223721s |      172.19.0.1 | GET      /item/get-items?offset=860&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    1.0166581s |      172.19.0.1 | GET      /item/get-items?offset=860&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    1.0455523s |      172.19.0.1 | GET      /item/get-items?offset=441&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    1.0284007s |      172.19.0.1 | GET      /item/get-items?offset=860&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |     970.902ms |      172.19.0.1 | GET      /item/get-items?offset=441&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    1.0433425s |      172.19.0.1 | GET      /item/get-items?offset=441&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    974.8984ms |      172.19.0.1 | GET      /item/get-items?offset=441&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    1.0108631s |      172.19.0.1 | GET      /item/get-items?offset=957&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    1.0652803s |      172.19.0.1 | GET      /item/get-items?offset=441&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    977.3826ms |      172.19.0.1 | GET      /item/get-items?offset=555&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    1.0484157s |      172.19.0.1 | GET      /item/get-items?offset=555&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    1.0106843s |      172.19.0.1 | GET      /item/get-items?offset=441&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |    1.0858786s |      172.19.0.1 | GET      /item/get-items?offset=441&limit=40
[GIN] 2020/05/25 - 20:59:18 | 200 |     987.143ms |      172.19.0.1 | GET      /item/get-items?offset=957&limit=40
